seed_id,official_document_number,landing_url,landing_status,pdf_url,pdf_status,result,reason
LAW_134_2025_QH15,134/2025/QH15,https://vanban.chinhphu.vn/?classid=1&docid=216334&pageid=27160&typegroupid=3,200,https://datafiles.chinhphu.vn/cpp/files/vbpq/2026/01/luat134.signed.pdf,200,PASS_RAW_OFFICIAL_DOCUMENT_CAPTURED,
DECREE_142_2026_ND_CP,142/2026/NĐ-CP,https://vanban.chinhphu.vn/?docid=218029&orggroupid=2&pageid=27160,200,,,FAIL,TRANSPORT_ERROR:FileNotFoundError:[Errno 2] No such file or directory: 'C:\\Users\\DELL\\Documents\\2. Research & Writing\\dao-duc-ai-tu-gia-tri-den-van-hanh\\docs\\research\\ai-ethics-healthcare-vietnam\\artifacts\\search-rerun-01-2026-07-31\\official-sources\\legal-seed-retrieval-20260801T104541\\raw\\DECREE_142_2026_ND_CP.landing.headers.json'
CIRCULAR_05_2026_TT_BKHCN,05/2026/TT-BKHCN,https://vanban.chinhphu.vn/?classid=1&docid=217165&pageid=27160&typegroupid=6,200,,,FAIL,TRANSPORT_ERROR:FileNotFoundError:[Errno 2] No such file or directory: 'C:\\Users\\DELL\\Documents\\2. Research & Writing\\dao-duc-ai-tu-gia-tri-den-van-hanh\\docs\\research\\ai-ethics-healthcare-vietnam\\artifacts\\search-rerun-01-2026-07-31\\official-sources\\legal-seed-retrieval-20260801T104541\\raw\\CIRCULAR_05_2026_TT_BKHCN.landing.headers.json'
