raw_record_id,source_channel,title,doi,publication_year,authors,deduplication_status,merged_into_record_id,deduplication_reason
RAW_0014,Direct_Harvest,"Artificial intelligence ethics in authoritarian Vietnam: governance, trust, and societal tensions",https://doi.org/10.1080/25741292.2025.2529625,2025,"['Huong T. Tran', 'Bac H. Dang', 'Mai Thanh Thi Nguyen', 'Quynh T. T. Pham', 'Phuoc Van Nguyen']",UNIQUE,REC_DIR_0014,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0015,Direct_Harvest,"Development of Machine Learning and Deep Learning Prediction Models for PM2.5 in Ho Chi Minh City, Vietnam",https://doi.org/10.3390/atmos15101163,2024,"['Phuc Hieu Nguyen', 'Đào Nguyên Khôi', 'Ly Sy Phu Nguyen']",UNIQUE,REC_DIR_0016,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0016,Direct_Harvest,Development and Asian-wide validation of the Grade for Interpretable Field Triage (GIFT) for predicting mortality in pre-hospital patients using the Pan-Asian Trauma Outcomes Study (PATOS),https://doi.org/10.1016/j.lanwpc.2023.100733,2023,"['Jae Yong Yu', 'Sejin Heo', 'Feng Xie', 'Nan Liu', 'Sun Yung Yoon', 'Han Sol Chang', 'Taerim Kim', 'Se Uk Lee', 'Marcus Eng Hock Ong', 'Yih Yng Ng', 'Sang Do Shin', 'Kentaro Kajino', 'Won Chul']",UNIQUE,REC_DIR_0017,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0017,Direct_Harvest,Towards a machine-learning assisted non-invasive classification of dengue severity using wearable PPG data: a prospective clinical study,https://doi.org/10.1016/j.ebiom.2024.105164,2024,"['Stefan Karolcik', 'Vasileos Manginas', 'Ho Quang Chanh', 'John Daniels', 'Nguyen Thi Giang', 'Vu Ngo Thanh Huyen', 'Minh Tu Van Hoang', 'Phan Nguyen Quoc Khanh', 'Bernard Hernandez', 'Damien Ming', 'Hao Nguyen Van', 'Tu Qui Phan', 'Huynh Trung Trieu', 'Tai Luong Thi Hue', 'Alison Holmes', 'Louise Thwaites', 'Tho Phan Vinh', 'Sophie Yacoub', 'Pantelis Georgiou']",UNIQUE,REC_DIR_0018,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0018,Direct_Harvest,Energy Poverty and Health Expenditure: Empirical Evidence from Vietnam,https://doi.org/10.3390/socsci13050253,2024,"['Hang Thu Nguyen-Phung', 'Hai Le']",UNIQUE,REC_DIR_0019,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0019,Direct_Harvest,Securing Collaborative Medical AI by Using Differential Privacy: Domain Transfer for Classification of Chest Radiographs,https://doi.org/10.1148/ryai.230212,2023,"['Soroosh Tayebi Arasteh', 'Mahshad Lotfinia', 'Teresa Nolte', 'Marwin-Jonathan Sähn', 'Peter Isfort', 'Christiane Kühl', 'Sven Nebelung', 'Georgios Kaissis', 'Daniel Truhn']",UNIQUE,REC_DIR_0020,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0020,Direct_Harvest,Comparing Large Language Models and Traditional Machine Translation Tools for Translating Medical Consultation Summaries: Quantitative Pilot Feasibility Study,https://doi.org/10.2196/85169,2026,"['Andy Li', 'Wei Zhou', 'Rashina Hoda', 'Chris Bain', 'Peter Poon']",UNIQUE,REC_DIR_0021,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0021,Direct_Harvest,What Are the Opportunities and Challenges of Using AI in Medical Education in Vietnam?,https://doi.org/10.2196/77817,2025,"['Trung Anh Nguyen', 'Thanh Binh Nguyen', 'Duy Cuong Nguyen', 'Anh Dung Vu', 'Khanh Linh Dang', 'Nhu Quynh Le', 'Duy Anh Ngo', 'Dang Kien Nguyen', 'Van Thuan Hoang', 'Thanh Binh Ngo']",UNIQUE,REC_DIR_0022,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0022,Direct_Harvest,Accuracy of Artificial Intelligence vs Professionally Translated Discharge Instructions,https://doi.org/10.1001/jamanetworkopen.2025.32312,2025,"['M Martos Martos', 'Blanca Fields', 'Samuel G. Finlayson', 'Nigel Hartell', 'Theresa Y. Kim', 'Emily L. Larimer', 'Jason J. Lau', 'Yu-Hsiang Lin', 'Taylor Salaguinto', 'Nguyen Tran-Ngoc', 'K. Casey Lion']",UNIQUE,REC_DIR_0023,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0023,Direct_Harvest,Sex and Gender Disparities in the COVID-19 Pandemic,https://doi.org/10.1089/jwh.2020.8472,2020,"['Jewel Gausman', 'Ana Langer']",UNIQUE,REC_DIR_0024,UNIQUE_RECORD_PASSED_TO_SCREENING
