record_id,channel,pmid,doi,openalex_id,title,year,authors,dedup_status,screening_status_round_1
REC_DIR_0021,Direct_Harvest,,https://doi.org/10.2196/85169,,Comparing Large Language Models and Traditional Machine Translation Tools for Translating Medical Consultation Summaries: Quantitative Pilot Feasibility Study,2026,"['Andy Li', 'Wei Zhou', 'Rashina Hoda', 'Chris Bain', 'Peter Poon']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0022,Direct_Harvest,,https://doi.org/10.2196/77817,,What Are the Opportunities and Challenges of Using AI in Medical Education in Vietnam?,2025,"['Trung Anh Nguyen', 'Thanh Binh Nguyen', 'Duy Cuong Nguyen', 'Anh Dung Vu', 'Khanh Linh Dang', 'Nhu Quynh Le', 'Duy Anh Ngo', 'Dang Kien Nguyen', 'Van Thuan Hoang', 'Thanh Binh Ngo']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0023,Direct_Harvest,,https://doi.org/10.1001/jamanetworkopen.2025.32312,,Accuracy of Artificial Intelligence vs Professionally Translated Discharge Instructions,2025,"['M Martos Martos', 'Blanca Fields', 'Samuel G. Finlayson', 'Nigel Hartell', 'Theresa Y. Kim', 'Emily L. Larimer', 'Jason J. Lau', 'Yu-Hsiang Lin', 'Taylor Salaguinto', 'Nguyen Tran-Ngoc', 'K. Casey Lion']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0024,Direct_Harvest,,https://doi.org/10.1089/jwh.2020.8472,,Sex and Gender Disparities in the COVID-19 Pandemic,2020,"['Jewel Gausman', 'Ana Langer']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0025,Direct_Harvest,,https://doi.org/10.1093/biosci/biae016,,Artificial intelligence helps drive new frontiers in ecology,2024,['Niki Wilson'],UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0026,Direct_Harvest,,https://doi.org/10.3389/fmed.2025.1666820,,Humanizing pulmonary care in the era of acoustic artificial intelligence: toward global health equity,2025,"['Bilal Irfan', 'Habeebah Muhammad-Kamal', 'Allison Newsome', 'Roberto Daniel Sirvent']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0027,Direct_Harvest,,https://doi.org/10.1201/9781003306924-9,,Application of AI Tools in Creating Datasets from a Real Data Component for Structural Health Monitoring,2023,"['Minh Q. Tran', 'Hélder S. Sousa', 'José C. Matos']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0028,Direct_Harvest,,https://doi.org/10.1016/j.uclim.2022.101315,,"AI-based air quality PM2.5 forecasting models for developing countries: A case study of Ho Chi Minh City, Vietnam",2022,"['Rajnish Rakholia', 'Quan Le', 'Hoang Ngoc Khue Vu', 'Bang Quoc Ho', 'Ricardo Simón Carbajo']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0029,Direct_Harvest,,https://doi.org/10.3390/jrfm18080420,,The Nexus Between Green Finance and Artificial Intelligence: A Systemic Bibliometric Analysis Based on Web of Science Database,2025,"['Katerina Fotova Čiković', 'Violeta Cvetkoska', 'Dinko Primorac']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0030,Direct_Harvest,,https://doi.org/10.1080/23322039.2023.2210361,,A LASSO-based model for financial distress of the Vietnamese listed firms: Does the covid-19 pandemic matter?,2023,"['Nam Thanh Vu', 'Ngoc Hong Nguyen', 'Thao Tran', 'Binh Thien Le', 'Duc Hong Vo']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0031,Direct_Harvest,,https://doi.org/10.2196/71591,,Insights Into the Current and Future State of AI Adoption Within Health Systems in Southeast Asia: Cross-Sectional Qualitative Study,2025,"['Mochammad Fadjar Wibowo', 'Alexandra Pyle', 'E. F. H. Lim', 'Joshua W. Ohde', 'Nan Liu', 'Jonas Karlström']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0032,Direct_Harvest,,https://doi.org/10.1101/806760,,Understanding and predicting ciprofloxacin minimum inhibitory concentration in <i>Escherichia coli</i> with machine learning,2019,"['Bálint Pataki', 'Sébastien Matamoros', 'Boas C.L. van der Putten', 'Daniel Remondini', 'Enrico Giampieri', 'Derya Aytan-Aktug', 'COMPARE ML-AMR group', 'René S. Hendriksen', 'Ole Lund', 'István Csabai', 'Constance Schultsz']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0033,Direct_Harvest,,https://doi.org/10.58845/jstt.utt.2023.en.3.4.44-52,,Predicting Load-Deflection of Composite Concrete Bridges Using Machine Learning Models,2023,"['Manh Van Le', 'Indra Prakash', 'Dam Duc Nguyen']",UNIQUE,PENDING_HUMAN_REVIEW
