seed_id,official_document_number,landing_url,landing_status,pdf_url,pdf_status,result,reason
LAW_134_2025_QH15,134/2025/QH15,https://vanban.chinhphu.vn/?classid=1&docid=216334&pageid=27160&typegroupid=3,200,https://datafiles.chinhphu.vn/cpp/files/vbpq/2026/01/luat134.signed.pdf,200,PASS_RAW_OFFICIAL_DOCUMENT_CAPTURED,
DECREE_142_2026_ND_CP,142/2026/NĐ-CP,https://vanban.chinhphu.vn/?docid=218029&orggroupid=2&pageid=27160,200,https://datafiles.chinhphu.vn/cpp/files/vbpq/2026/4/142-2026-ndcp.signed.pdf,200,PASS_RAW_OFFICIAL_DOCUMENT_CAPTURED,
CIRCULAR_05_2026_TT_BKHCN,05/2026/TT-BKHCN,https://vanban.chinhphu.vn/?classid=1&docid=217165&pageid=27160&typegroupid=6,200,https://datafiles.chinhphu.vn/cpp/files/vbpq/2026/3/05-bkhcn.pdf,200,PASS_RAW_OFFICIAL_DOCUMENT_CAPTURED,
