record_id,title,disagreement_type,dao_trung_thanh_decision,dao_trung_thanh_reason,loc_dang_decision,loc_dang_reason,pi_decision,pi_exclusion_reason,pi_notes,pi_date
CANON-00237,Comparing Large Language Models and Traditional Machine Translation Tools for Translating Medical Consultation Summaries: Quantitative Pilot Feasibility Study.,DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,EXCLUDE,EX01_NOT_VIETNAM,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00239,TLAS-YHCT VN: Development and Evaluation of a Socratic AI Teaching Assistant for Traditional Vietnamese Medicine Education — A Two-Phase Mixed-Methods Study (Preprint),DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00240,Digital Health Policy and Programs for Hospital Care in Vietnam: Scoping Review (Preprint),DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00241,Multidimensional Machine Learning for Assessing Parameters Associated With COVID-19 in Vietnam: Validation Study (Preprint),DISAGREEMENT_EXCLUDE_REASON,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00242,Adapting and Scaling a Digital Health Intervention to Improve Maternal and Child Health Among Ethnic Minority Women in Vietnam Amid the COVID-19 Context: Protocol for the dMOM Project (Preprint),DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00244,Insights on the current and future state of AI adoption within health systems in Southeast Asia: A qualitative study (Preprint),DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00245,Comparing Large Language Models and Traditional Machine Translation Tools for Translating Medical Consultation Summaries – A Pilot Feasibility Study (Preprint),DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00248,PhoBERT: Application in Disease Classification based on Vietnamese Symptom Analysis,DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00255,Development and validation of machine learning-based predictive clinical decision support system for olanzapine in patients with schizophrenia,DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00257,Cory COVID-Bot: An Evidence-Based Behavior Change Chatbot for COVID-19.,DISAGREEMENT_EXCLUDE_REASON,EXCLUDE,EX01_NOT_VIETNAM,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,EXCLUDE,EX01_NOT_VIETNAM,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
