record_id,dao_trung_thanh_decision,dao_trung_thanh_reason,loc_dang_decision,loc_dang_reason,agreement_status,adjudication_status,next_workflow_status,dao_file_sha256,loc_file_sha256,adjudicated_decision,adjudication_reason,adjudicator
CANON-00247,INCLUDE,,INCLUDE,,AGREED_INCLUDE,NONE_REQUIRED,ACCEPTED_INCLUDE,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,,,
CANON-00248,INCLUDE,,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,DISAGREEMENT_DECISION,PENDING_PI_ADJUDICATION,PENDING_PI_ADJUDICATION,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,DAO_TRUNG_THANH
CANON-00249,INCLUDE,,INCLUDE,,AGREED_INCLUDE,NONE_REQUIRED,ACCEPTED_INCLUDE,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,,,
CANON-00250,INCLUDE,,INCLUDE,,AGREED_INCLUDE,NONE_REQUIRED,ACCEPTED_INCLUDE,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,,,
CANON-00251,INCLUDE,,INCLUDE,,AGREED_INCLUDE,NONE_REQUIRED,ACCEPTED_INCLUDE,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,,,
CANON-00252,EXCLUDE,EX01_NOT_VIETNAM,EXCLUDE,EX01_NOT_VIETNAM,AGREED_EXCLUDE,NONE_REQUIRED,EXCLUDED_EX01_NOT_VIETNAM,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,,,
CANON-00254,INCLUDE,,INCLUDE,,AGREED_INCLUDE,NONE_REQUIRED,ACCEPTED_INCLUDE,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,,,
CANON-00255,INCLUDE,,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,DISAGREEMENT_DECISION,PENDING_PI_ADJUDICATION,PENDING_PI_ADJUDICATION,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,DAO_TRUNG_THANH
CANON-00257,EXCLUDE,EX01_NOT_VIETNAM,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,DISAGREEMENT_EXCLUDE_REASON,PENDING_PI_ADJUDICATION,PENDING_PI_ADJUDICATION,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,EXCLUDE,EX01_NOT_VIETNAM,DAO_TRUNG_THANH
CANON-00258,INCLUDE,,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,DISAGREEMENT_DECISION,PENDING_PI_ADJUDICATION,PENDING_PI_ADJUDICATION,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,EXCLUDE,EX01_NOT_VIETNAM,DAO_TRUNG_THANH
CANON-00259,INCLUDE,,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,DISAGREEMENT_DECISION,PENDING_PI_ADJUDICATION,PENDING_PI_ADJUDICATION,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,EXCLUDE,EX01_NOT_VIETNAM,DAO_TRUNG_THANH
CANON-00260,INCLUDE,,INCLUDE,,AGREED_INCLUDE,NONE_REQUIRED,ACCEPTED_INCLUDE,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,,,
CANON-00262,INCLUDE,,INCLUDE,,AGREED_INCLUDE,NONE_REQUIRED,ACCEPTED_INCLUDE,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,,,
CANON-00266,INCLUDE,,INCLUDE,,AGREED_INCLUDE,NONE_REQUIRED,ACCEPTED_INCLUDE,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,,,
CANON-00267,INCLUDE,,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,DISAGREEMENT_DECISION,PENDING_PI_ADJUDICATION,PENDING_PI_ADJUDICATION,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,DAO_TRUNG_THANH
CANON-00269,INCLUDE,,EXCLUDE,EX01_NOT_VIETNAM,DISAGREEMENT_DECISION,PENDING_PI_ADJUDICATION,PENDING_PI_ADJUDICATION,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,EXCLUDE,EX01_NOT_VIETNAM,DAO_TRUNG_THANH
CANON-00277,INCLUDE,,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,DISAGREEMENT_DECISION,PENDING_PI_ADJUDICATION,PENDING_PI_ADJUDICATION,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,DAO_TRUNG_THANH
CANON-00278,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,AGREED_EXCLUDE,NONE_REQUIRED,EXCLUDED_EX04_NO_ETHICS_GOVERNANCE,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,,,
CANON-00281,INCLUDE,,EXCLUDE,EX01_NOT_VIETNAM,DISAGREEMENT_DECISION,PENDING_PI_ADJUDICATION,PENDING_PI_ADJUDICATION,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,INCLUDE,,DAO_TRUNG_THANH
CANON-00282,EXCLUDE,EX02_NOT_HEALTHCARE,EXCLUDE,EX02_NOT_HEALTHCARE,AGREED_EXCLUDE,NONE_REQUIRED,EXCLUDED_EX02_NOT_HEALTHCARE,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,,,
CANON-00283,INCLUDE,,INCLUDE,,AGREED_INCLUDE,NONE_REQUIRED,ACCEPTED_INCLUDE,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,,,
