"query_id","locked_query","portal","run_method","run_datetime_utc","requested_url","http_status","raw_file","bytes","sha256","reported_result_count","run_status","stopping_rule"
"DQ-REL-01-A","134/2025/QH15","mst.gov.vn","internal GET search endpoint","2026-07-31T13:59:16.0640143Z","https://mst.gov.vn/tim-kiem.htm?keywords=134%2F2025%2FQH15","200","mst-dq-rel-01-a-2026-07-31.html","130750","dafaa4468d4b8e2112da9bbecc8129991fb6f848b9a0aa1f4bdbff19c8ceaf9f","0","RAW_RESULT_PAGE_CAPTURED_NOT_SCREENED","FIRST_INTERNAL_RESULTS_PAGE_ONLY; NOT_COMPLETE: portal pagination/result-total not reliably machine-readable in this run."
"DQ-REL-01-B","142/2026/NĐ-CP","mst.gov.vn","internal GET search endpoint","2026-07-31T13:59:18.6287736Z","https://mst.gov.vn/tim-kiem.htm?keywords=142%2F2026%2FN%C4%90-CP","200","mst-dq-rel-01-b-2026-07-31.html","130772","b80bfab2f8ce8c7340a388a68c09fd6d5ebab0056009a1dc8e7e50039a09751b","0","RAW_RESULT_PAGE_CAPTURED_NOT_SCREENED","FIRST_INTERNAL_RESULTS_PAGE_ONLY; NOT_COMPLETE: portal pagination/result-total not reliably machine-readable in this run."
"DQ-REL-01-C","05/2026/TT-BKHCN","mst.gov.vn","internal GET search endpoint","2026-07-31T13:59:20.5757684Z","https://mst.gov.vn/tim-kiem.htm?keywords=05%2F2026%2FTT-BKHCN","200","mst-dq-rel-01-c-2026-07-31.html","130783","9740e1ea92ed6857671e3984cf4a9bf920121c494e3ad95986ba2834335de47b","0","RAW_RESULT_PAGE_CAPTURED_NOT_SCREENED","FIRST_INTERNAL_RESULTS_PAGE_ONLY; NOT_COMPLETE: portal pagination/result-total not reliably machine-readable in this run."
"DQ-REL-01-D","sửa đổi thay thế hướng dẫn triển khai","mst.gov.vn","internal GET search endpoint","2026-07-31T13:59:23.1880229Z","https://mst.gov.vn/tim-kiem.htm?keywords=s%E1%BB%ADa%20%C4%91%E1%BB%95i%20thay%20th%E1%BA%BF%20h%C6%B0%E1%BB%9Bng%20d%E1%BA%ABn%20tri%E1%BB%83n%20khai","200","mst-dq-rel-01-d-2026-07-31.html","131168","ac5d7086607c7db8c90b694c174c50a038dc3098631389d6a7fbb670a451fc6a","0","RAW_RESULT_PAGE_CAPTURED_NOT_SCREENED","FIRST_INTERNAL_RESULTS_PAGE_ONLY; NOT_COMPLETE: portal pagination/result-total not reliably machine-readable in this run."
"DQ-REL-01","134/2025/QH15 142/2026/NĐ-CP 05/2026/TT-BKHCN sửa đổi thay thế hướng dẫn triển khai","mst.gov.vn","internal GET search endpoint","2026-07-31T13:59:25.7939645Z","https://mst.gov.vn/tim-kiem.htm?keywords=134%2F2025%2FQH15%20142%2F2026%2FN%C4%90-CP%2005%2F2026%2FTT-BKHCN%20s%E1%BB%ADa%20%C4%91%E1%BB%95i%20thay%20th%E1%BA%BF%20h%C6%B0%E1%BB%9Bng%20d%E1%BA%ABn%20tri%E1%BB%83n%20khai","200","mst-dq-rel-01-2026-07-31.html","131685","817a0d3f08dd42defaf0d81aa0ad198ded2303358467c809abfe7583106a31e4","0","RAW_RESULT_PAGE_CAPTURED_NOT_SCREENED","FIRST_INTERNAL_RESULTS_PAGE_ONLY; NOT_COMPLETE: portal pagination/result-total not reliably machine-readable in this run."
"DQ-COUNCIL-NAME-01","Hội đồng đạo đức AI quốc gia","mst.gov.vn","internal GET search endpoint","2026-07-31T13:59:28.3342570Z","https://mst.gov.vn/tim-kiem.htm?keywords=H%E1%BB%99i%20%C4%91%E1%BB%93ng%20%C4%91%E1%BA%A1o%20%C4%91%E1%BB%A9c%20AI%20qu%E1%BB%91c%20gia","200","mst-dq-council-name-01-2026-07-31.html","131058","61291062ae93a4a30b966b379401873bcc0fe2f1e389b453060bd8119acf47ae","0","RAW_RESULT_PAGE_CAPTURED_NOT_SCREENED","FIRST_INTERNAL_RESULTS_PAGE_ONLY; NOT_COMPLETE: portal pagination/result-total not reliably machine-readable in this run."
"DQ-COUNCIL-NAME-02","Hội đồng đạo đức trí tuệ nhân tạo quốc gia","mst.gov.vn","internal GET search endpoint","2026-07-31T13:59:30.9332050Z","https://mst.gov.vn/tim-kiem.htm?keywords=H%E1%BB%99i%20%C4%91%E1%BB%93ng%20%C4%91%E1%BA%A1o%20%C4%91%E1%BB%A9c%20tr%C3%AD%20tu%E1%BB%87%20nh%C3%A2n%20t%E1%BA%A1o%20qu%E1%BB%91c%20gia","200","mst-dq-council-name-02-2026-07-31.html","131278","919cd179928711281a225a9d895c4bc056ccbc520fd706011c7722108ad56a6c","0","RAW_RESULT_PAGE_CAPTURED_NOT_SCREENED","FIRST_INTERNAL_RESULTS_PAGE_ONLY; NOT_COMPLETE: portal pagination/result-total not reliably machine-readable in this run."
"DQ-COUNCIL-NAME-03","Ủy ban đạo đức AI quốc gia","mst.gov.vn","internal GET search endpoint","2026-07-31T13:59:33.5018156Z","https://mst.gov.vn/tim-kiem.htm?keywords=%E1%BB%A6y%20ban%20%C4%91%E1%BA%A1o%20%C4%91%E1%BB%A9c%20AI%20qu%E1%BB%91c%20gia","200","mst-dq-council-name-03-2026-07-31.html","131003","451825c9ee0bd17231c134b159e4c073bffebc75203818c4fc3a275fcf8d8857","0","RAW_RESULT_PAGE_CAPTURED_NOT_SCREENED","FIRST_INTERNAL_RESULTS_PAGE_ONLY; NOT_COMPLETE: portal pagination/result-total not reliably machine-readable in this run."
"DQ-COUNCIL-NAME-04","National AI Ethics Council Vietnam","mst.gov.vn","internal GET search endpoint","2026-07-31T13:59:35.6504960Z","https://mst.gov.vn/tim-kiem.htm?keywords=National%20AI%20Ethics%20Council%20Vietnam","200","mst-dq-council-name-04-2026-07-31.html","130981","67cbbb77ba7edc0efc07a854bc2f1186912ab760cb5b244458d1403178b0477a","0","RAW_RESULT_PAGE_CAPTURED_NOT_SCREENED","FIRST_INTERNAL_RESULTS_PAGE_ONLY; NOT_COMPLETE: portal pagination/result-total not reliably machine-readable in this run."
"DQ-COUNCIL-NAME-05","National Council on AI Ethics Vietnam","mst.gov.vn","internal GET search endpoint","2026-07-31T13:59:38.2688247Z","https://mst.gov.vn/tim-kiem.htm?keywords=National%20Council%20on%20AI%20Ethics%20Vietnam","200","mst-dq-council-name-05-2026-07-31.html","131014","cc7517dc68478e1a39551a1c6c561afe2c6b0ab903ac4fc41f38598242b0648e","0","RAW_RESULT_PAGE_CAPTURED_NOT_SCREENED","FIRST_INTERNAL_RESULTS_PAGE_ONLY; NOT_COMPLETE: portal pagination/result-total not reliably machine-readable in this run."
