"query_id","document_id","document_number","document_type","issuer","issued_date","effective_date","stable_locator"
"DQ-FRAME-01","GOV-VB-05-2026-TT-BKHCN","05/2026/TT-BKHCN","CIRCULAR","Bo Khoa hoc va Cong nghe","2026-03-10","2026-03-10","https://vanban.chinhphu.vn/?docid=217165&orggroupid=4&pageid=27160"
"DQ-LAW-01","GOV-VB-134-2025-QH15","134/2025/QH15","LAW","Quoc hoi","2025-12-10","2026-03-01","https://vanban.chinhphu.vn/?docid=216334&orggroupid=1&pageid=27160"
"DQ-DEC-01","GOV-VB-142-2026-ND-CP","142/2026/ND-CP","DECREE","Chinh phu","2026-04-30","2026-05-01","https://vanban.chinhphu.vn/?docid=218029&orggroupid=2&pageid=27160"
