document_number,depth,parent_document,landing_url,pdf_url,node_state,text_assessment
134/2025/QH15,0,,https://vanban.chinhphu.vn/?classid=1&docid=216334&pageid=27160&typegroupid=3,https://datafiles.chinhphu.vn/cpp/files/vbpq/2026/01/luat134.signed.pdf,RAW_OFFICIAL_DOCUMENT_CAPTURED,PDF_TEXT_EXTRACTED:20_PAGES:19_CHARS
142/2026/NĐ-CP,0,,https://vanban.chinhphu.vn/?docid=218029&orggroupid=2&pageid=27160,https://datafiles.chinhphu.vn/cpp/files/vbpq/2026/4/142-2026-ndcp.signed.pdf,RAW_OFFICIAL_DOCUMENT_CAPTURED,PDF_TEXT_EXTRACTED:97_PAGES:96_CHARS
05/2026/TT-BKHCN,0,,https://vanban.chinhphu.vn/?classid=1&docid=217165&pageid=27160&typegroupid=6,https://datafiles.chinhphu.vn/cpp/files/vbpq/2026/3/05-bkhcn.pdf,RAW_OFFICIAL_DOCUMENT_CAPTURED,PDF_TEXT_EXTRACTED:9_PAGES:14129_CHARS
55/2025/NĐ-CP,1,05/2026/TT-BKHCN,https://vanban.chinhphu.vn/?pageid=27160&docid=213020,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/3/55-1cp.signed.pdf,RAW_OFFICIAL_DOCUMENT_CAPTURED,PDF_TEXT_EXTRACTED:18_PAGES:17_CHARS
