source_document,source_depth,relation_type,target_document,evidence_excerpt,source_raw_file,edge_state
05/2026/TT-BKHCN,0,CAN_CU,134/2025/QH15,Căn cứ Luật Trí tuệ nhân tạo số 134/2025/QH15,raw/seed-03.fulltext.pdf,VERIFIED_DIRECT_TEXT
05/2026/TT-BKHCN,0,CAN_CU,55/2025/NĐ-CP,Căn cứ Nghị định số 55/2025/NĐ-CP,raw/seed-03.fulltext.pdf,DISCOVERED_TARGET_PENDING_OFFICIAL_RESOLUTION
