slot_id,domain,query_id,target_url,http_status,error_summary,raw_body_file,raw_body_sha256,retried_attempts,terminal_condition
MINISTRY-03,most.gov.vn,DQ-TOOL-02,https://most.gov.vn/,0,URLError,raw-artifacts\MINISTRY-03-18fe4d42.body,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,3,HTTP_RESPONSE_CAPTURED
MINISTRY-04,moh.gov.vn,DQ-TOOL-01,https://moh.gov.vn/,0,URLError,raw-artifacts\MINISTRY-04-7c76cc9e.body,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,3,HTTP_RESPONSE_CAPTURED
MINISTRY-04,moh.gov.vn,DQ-TOOL-02,https://moh.gov.vn/,0,URLError,raw-artifacts\MINISTRY-04-8dfe6f82.body,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,3,HTTP_RESPONSE_CAPTURED
MINISTRY-04,moh.gov.vn,DQ-EVID-01,https://moh.gov.vn/,0,URLError,raw-artifacts\MINISTRY-04-88aad6ad.body,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,3,HTTP_RESPONSE_CAPTURED
MINISTRY-04,moh.gov.vn,DQ-EVID-05,https://moh.gov.vn/,0,URLError,raw-artifacts\MINISTRY-04-e1c0cb5e.body,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,3,HTTP_RESPONSE_CAPTURED
MINISTRY-04,most.gov.vn,DQ-TOOL-01,https://most.gov.vn/,0,URLError,raw-artifacts\MINISTRY-04-db370de9.body,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,3,HTTP_RESPONSE_CAPTURED
MINISTRY-04,most.gov.vn,DQ-TOOL-02,https://most.gov.vn/,0,URLError,raw-artifacts\MINISTRY-04-18fe4d42.body,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,3,HTTP_RESPONSE_CAPTURED
MINISTRY-04,most.gov.vn,DQ-EVID-01,https://most.gov.vn/,0,URLError,raw-artifacts\MINISTRY-04-b9ff4748.body,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,3,HTTP_RESPONSE_CAPTURED
MINISTRY-04,most.gov.vn,DQ-EVID-05,https://most.gov.vn/,0,URLError,raw-artifacts\MINISTRY-04-993f2654.body,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,3,HTTP_RESPONSE_CAPTURED
INTL-01,www.who.int/vietnam,DQ-IMPL-03,https://www.who.int/vietnam/,200,OK,raw-artifacts\INTL-01-b30eb7fd.body,2F093E9AD117BDEDAFAE7D77225361DDFFD6DD5B69FD2D0262A88CFEE9D900E6,3,HTTP_RESPONSE_CAPTURED
INTL-01,www.who.int/vietnam,DQ-EVID-04,https://www.who.int/vietnam/,200,OK,raw-artifacts\INTL-01-28a7e95c.body,2F093E9AD117BDEDAFAE7D77225361DDFFD6DD5B69FD2D0262A88CFEE9D900E6,3,HTTP_RESPONSE_CAPTURED
INTL-02,www.unesco.org,DQ-IMPL-03,https://www.unesco.org/,0,URLError,raw-artifacts\INTL-02-9e3a029b.body,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,3,HTTP_RESPONSE_CAPTURED
INTL-02,www.unesco.org,DQ-TOOL-01,https://www.unesco.org/,0,URLError,raw-artifacts\INTL-02-18e77a8b.body,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,3,HTTP_RESPONSE_CAPTURED
INTL-02,unesco.org,DQ-IMPL-03,https://unesco.org/,0,URLError,raw-artifacts\INTL-02-b3812f50.body,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,3,HTTP_RESPONSE_CAPTURED
INTL-02,unesco.org,DQ-TOOL-01,https://unesco.org/,0,URLError,raw-artifacts\INTL-02-16f709df.body,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,3,HTTP_RESPONSE_CAPTURED
INTL-03,www.who.int/vietnam,DQ-IMPL-03,https://www.who.int/vietnam/,200,OK,raw-artifacts\INTL-03-b30eb7fd.body,2F093E9AD117BDEDAFAE7D77225361DDFFD6DD5B69FD2D0262A88CFEE9D900E6,3,HTTP_RESPONSE_CAPTURED
INTL-03,www.who.int/vietnam,DQ-EVID-04,https://www.who.int/vietnam/,200,OK,raw-artifacts\INTL-03-28a7e95c.body,2F093E9AD117BDEDAFAE7D77225361DDFFD6DD5B69FD2D0262A88CFEE9D900E6,3,HTTP_RESPONSE_CAPTURED
