manifestation_id,source_channel,source_record_id,title,year,doi,pmid,openalex_id,raw_artifact_locator,raw_artifact_checksum,retrieval_run_id,query_locator,provenance_status
LEGAL:134/2025/QH15,LEGAL_OFFICIAL_PORTAL,134/2025/QH15,Luật Trí tuệ nhân tạo,2025,,,,official-sources/legal-seed-retrieval-20260801T135648/raw/s01.signed.pdf,53be2f9993e5060cc0ce723fc506d6535c9358978dbbeff11324c8d6236cae69,legal-seed-retrieval-20260801T135648,https://vanban.chinhphu.vn/?classid=1&docid=216334&pageid=27160&typegroupid=3,VERIFIED_RAW_MANIFEST
LEGAL:142/2026/NĐ-CP,LEGAL_OFFICIAL_PORTAL,142/2026/NĐ-CP,Quy định chi tiết một số điều và biện pháp thi hành Luật Trí tuệ nhân tạo,2026,,,,official-sources/legal-seed-retrieval-20260801T135648/raw/s02.signed.pdf,988fa7091b9f70615b8ae984e7e43b15293eb31398a113c86cc34f26666d5e40,legal-seed-retrieval-20260801T135648,https://vanban.chinhphu.vn/?docid=218029&orggroupid=2&pageid=27160,VERIFIED_RAW_MANIFEST
LEGAL:05/2026/TT-BKHCN,LEGAL_OFFICIAL_PORTAL,05/2026/TT-BKHCN,Ban hành Khung đạo đức trí tuệ nhân tạo quốc gia,2026,,,,official-sources/legal-seed-retrieval-20260801T135648/raw/s03.signed.pdf,45616232b7023fef199cce2d52d5896d1db59b990a74fd40648b262d11490220,legal-seed-retrieval-20260801T135648,https://vanban.chinhphu.vn/?classid=1&docid=217165&pageid=27160&typegroupid=6,VERIFIED_RAW_MANIFEST
