manifestation_id,slot_id,domain,query_id,title,source_url,raw_body_sha256,status
MANIF-MINISTRY-01,MINISTRY-01,moh.gov.vn,DQ-IMPL-01,Bác sĩ AI và bài toán nhân lực y tế: Hợp tác giữa công nghệ và ...,https://vnpa.moh.gov.vn/bac-si-ai-va-bai-toan-nhan-luc-y-te-hop-tac-giua-cong-nghe-va-nhan-van/,D69FDC367ABF482E569FC7AB4A234C8468FFD2E3E8F8A0C5EFABF319D69967BF,UNSCREENED_DOCUMENT_CAPTURED
MANIF-MINISTRY-02,MINISTRY-02,moh.gov.vn,DQ-IMPL-05,Tập huấn Ứng dụng trí tuệ nhân tạo trong công tác dân số,https://vnpa.moh.gov.vn/tap-huan-ung-dung-tri-tue-nhan-tao-trong-cong-tac-dan-so/,BEBDF1AF38FF3502105AA5513E6039FC755308AE7B3E1E882ADC0826DB622A15,UNSCREENED_DOCUMENT_CAPTURED
MANIF-SENTINEL-02,SENTINEL-02,soyte.danang.gov.vn,DQ-IMPL-01,"Hội thảo ứng dụng trí tuệ nhân tạo trong khám, chữa bệnh và ...",https://soyte.danang.gov.vn/vi/w/hoi-thao-ung-dung-tri-tue-nhan-tao-trong-kham-chua-benh-va-xay-dung-de-an-phat-trien-y-te-thong-minh-3271122,F039AFE65EF625BAF16E04F013473E2C40374643DC9A31F25E45ADD481E91797,UNSCREENED_DOCUMENT_CAPTURED
MANIF-SENTINEL-03,SENTINEL-03,medinet.gov.vn,DQ-IMPL-01,Tìm hiểu ứng dụng trí tuệ nhân tạo trong y tế,https://medinet.gov.vn/cai-cach-hanh-chinh-y-te-thong-minh/tim-hieu-ung-dung-tri-tue-nhan-tao-trong-y-te-so-y-te-hcm-cmobile4714-30778.aspx,1CBC42DAEC8DA7494BCE8B200BFEC5C0859BF5F0F746CF61E7A6CDE88CCE013B,UNSCREENED_DOCUMENT_CAPTURED
MANIF-SENTINEL-04,SENTINEL-04,bachmai.gov.vn,DQ-IMPL-01,Ứng dụng trí tuệ nhân tạo góp phần nâng cao hiệu quả ...,https://bachmai.gov.vn/bai-viet/ung-dung-tri-tue-nhan-tao-gop-phan-nang-cao-hieu-qua-chan-doan-dieu-tri-benh-ung-thu-phoi?id=b6fa9ccc-f3be-45fc-bf7e-4513d97664ba,811E445BED659C725AA6EB093941C5BCAA0E0AB3932339888224FDC76D141A9F,UNSCREENED_DOCUMENT_CAPTURED
MANIF-SENTINEL-05,SENTINEL-05,vinmec.com,DQ-IMPL-01,Ứng dụng của trí tuệ nhân tạo AI trong chẩn đoán ung thư ...,https://www.vinmec.com/vie/bai-viet/ung-dung-cua-tri-tue-nhan-tao-ai-trong-chan-doan-ung-thu-thuc-quan-vi,8A894CCE471460539BB43996DD2C4AD0897FD09565C4358BDC4D6E65F4F98335,UNSCREENED_DOCUMENT_CAPTURED
