manifestation_id,slot_id,domain,query_id,title,source_url,raw_body_sha256,status
MANIF-MINISTRY-01,MINISTRY-01,moh.gov.vn,DQ-IMPL-01,Valid Document for MINISTRY-01,https://vnpa.moh.gov.vn/bac-si-ai-va-bai-toan-nhan-luc-y-te-hop-tac-giua-cong-nghe-va-nhan-van/,180194EC1A90EF6D262B63012E1FA0C005DECCBD94F51AE91378C987D0DCAD45,UNSCREENED_DOCUMENT_CAPTURED
MANIF-MINISTRY-02,MINISTRY-02,moh.gov.vn,DQ-IMPL-05,Valid Document for MINISTRY-02,https://vnpa.moh.gov.vn/tap-huan-ung-dung-tri-tue-nhan-tao-trong-cong-tac-dan-so/,A956652F1F2D3E8B30C863485D23D655C60AFFEF87146DCE44F9773D18722D0E,UNSCREENED_DOCUMENT_CAPTURED
MANIF-MINISTRY-03,MINISTRY-03,most.gov.vn,DQ-IMPL-03,Valid Document for MINISTRY-03,https://tthc.most.gov.vn/index.php/ban_b/article/download/3788/1866/11162,807F55267C188AF09DE30ADBCD2D3A832F225C9D711F6A4BC8BD0C9012541FEC,UNSCREENED_DOCUMENT_CAPTURED
MANIF-SENTINEL-02,SENTINEL-02,soyte.danang.gov.vn,DQ-IMPL-01,Valid Document for SENTINEL-02,https://soyte.danang.gov.vn/vi/w/hoi-thao-ung-dung-tri-tue-nhan-tao-trong-kham-chua-benh-va-xay-dung-de-an-phat-trien-y-te-thong-minh-3271122,EC0A6BFD23A0641B612FDD9E57EE1ED30F79ED83B6D9FF86B67A765A8F5817FA,UNSCREENED_DOCUMENT_CAPTURED
MANIF-SENTINEL-03,SENTINEL-03,medinet.gov.vn,DQ-IMPL-01,Valid Document for SENTINEL-03,https://medinet.gov.vn/cai-cach-hanh-chinh-y-te-thong-minh/tim-hieu-ung-dung-tri-tue-nhan-tao-trong-y-te-so-y-te-hcm-cmobile4714-30778.aspx,0699D49A3D9C1CA194100EA45C6B501AFA84EFD3D46B845BBDAE1A023AF775FD,UNSCREENED_DOCUMENT_CAPTURED
MANIF-SENTINEL-04,SENTINEL-04,bachmai.gov.vn,DQ-IMPL-01,Valid Document for SENTINEL-04,https://bachmai.gov.vn/bai-viet/ung-dung-tri-tue-nhan-tao-gop-phan-nang-cao-hieu-qua-chan-doan-dieu-tri-benh-ung-thu-phoi?id=b6fa9ccc-f3be-45fc-bf7e-4513d97664ba,10AA7042A3E56304D2C3A50F098329137AA788692671B121516C337AA1BE8E9F,UNSCREENED_DOCUMENT_CAPTURED
MANIF-SENTINEL-05,SENTINEL-05,vinmec.com,DQ-IMPL-01,Valid Document for SENTINEL-05,https://www.vinmec.com/vie/bai-viet/ung-dung-cua-tri-tue-nhan-tao-ai-trong-chan-doan-ung-thu-thuc-quan-vi,8A894CCE471460539BB43996DD2C4AD0897FD09565C4358BDC4D6E65F4F98335,UNSCREENED_DOCUMENT_CAPTURED
