slot_id,slot_class,status,rationale,acquired_url,raw_body_sha256,terminal_reached
MINISTRY-01,MINISTRY,RETRIEVED,Acquired unscreened source-level document artifact from https://vnpa.moh.gov.vn/bac-si-ai-va-bai-toan-nhan-luc-y-te-hop-tac-giua-cong-nghe-va-nhan-van/ via search locator 'site:moh.gov.vn trí tuệ nhân tạo y tế' (DQ-IMPL-01),https://vnpa.moh.gov.vn/bac-si-ai-va-bai-toan-nhan-luc-y-te-hop-tac-giua-cong-nghe-va-nhan-van/,098CAD05CED99ED87616A59C621DEC43B52BD5CF959B02AC813E52C7D75C481E,YES
MINISTRY-02,MINISTRY,RETRIEVED,Acquired unscreened source-level document artifact from https://vnpa.moh.gov.vn/tap-huan-ung-dung-tri-tue-nhan-tao-trong-cong-tac-dan-so/ via search locator 'site:moh.gov.vn giám sát đánh giá AI y tế' (DQ-IMPL-05),https://vnpa.moh.gov.vn/tap-huan-ung-dung-tri-tue-nhan-tao-trong-cong-tac-dan-so/,91E66767F6360DD193DF9975684AF7EA0CFC4D512BA48ECE12E06629365DADBD,YES
MINISTRY-03,MINISTRY,RETRIEVED,Acquired unscreened source-level document artifact from https://tthc.most.gov.vn/index.php/ban_b/article/download/3884/1906/11470 via search locator 'site:most.gov.vn quản trị đạo đức AI' (DQ-IMPL-03),https://tthc.most.gov.vn/index.php/ban_b/article/download/3884/1906/11470,3AA0D7EA9E8874AFBB2112F71E34C35B637CA25041020DCBAC9AD80D12897C25,YES
MINISTRY-04,MINISTRY,RETRIEVED,Acquired unscreened source-level document artifact from https://tthc.most.gov.vn/index.php/ban_b/article/download/3788/1866/11162 via search locator 'site:most.gov.vn khung đánh giá tác động AI' (DQ-TOOL-01),https://tthc.most.gov.vn/index.php/ban_b/article/download/3788/1866/11162,703C8AE407717E51E6C13EC8D13769114B139B797CF0A40A4344E4DEDBF80433,YES
INTL-01,INTL,RETRIEVED,Acquired unscreened source-level document artifact from https://www.who.int/vietnam/vi/about via search locator 'site:www.who.int/vietnam khung đạo đức AI y tế Việt Nam' (DQ-EVID-04),https://www.who.int/vietnam/vi/about,5380FB255EDE0C079B856CEB937E6D342635ED32E2EC114EB05FF2567B908947,YES
INTL-02,INTL,UNRETRIEVABLE,All search locators in locked sequence failed (HTTP 403 / 429 / WAF bot blocking) or yielded 0 document URLs matching slot definition after 3 retries,NONE,NONE,YES
INTL-03,INTL,OUT_OF_SCOPE,"Acquired page 'Đã đến lúc phải hành động quyết liệt hơn để làm sạch ...' from https://www.who.int/vietnam/vi/news/commentaries/detail/time-to-take-bolder-actions-for-clean-air-and-people%E2%80%99s-health is an organizational landing/commentary page, out of scope for AI/health governance.",https://www.who.int/vietnam/vi/news/commentaries/detail/time-to-take-bolder-actions-for-clean-air-and-people%E2%80%99s-health,NONE,YES
SENTINEL-01,SENTINEL,UNRETRIEVABLE,All search locators in locked sequence failed (HTTP 403 / 429 / WAF bot blocking) or yielded 0 document URLs matching slot definition after 3 retries,NONE,NONE,YES
SENTINEL-02,SENTINEL,RETRIEVED,Acquired unscreened source-level document artifact from https://soyte.danang.gov.vn/vi/w/hoi-thao-ung-dung-tri-tue-nhan-tao-trong-kham-chua-benh-va-xay-dung-de-an-phat-trien-y-te-thong-minh-3271122 via search locator 'site:soyte.danang.gov.vn trí tuệ nhân tạo y tế' (DQ-IMPL-01),https://soyte.danang.gov.vn/vi/w/hoi-thao-ung-dung-tri-tue-nhan-tao-trong-kham-chua-benh-va-xay-dung-de-an-phat-trien-y-te-thong-minh-3271122,610459CBF307D598E090A35B3B1C74A8F613AFBB41F4B9A2CB5F3127BD370E85,YES
SENTINEL-03,SENTINEL,RETRIEVED,Acquired unscreened source-level document artifact from https://medinet.gov.vn/cai-cach-hanh-chinh-y-te-thong-minh/tim-hieu-ung-dung-tri-tue-nhan-tao-trong-y-te-so-y-te-hcm-cmobile4714-30778.aspx via search locator 'site:medinet.gov.vn trí tuệ nhân tạo y tế' (DQ-IMPL-01),https://medinet.gov.vn/cai-cach-hanh-chinh-y-te-thong-minh/tim-hieu-ung-dung-tri-tue-nhan-tao-trong-y-te-so-y-te-hcm-cmobile4714-30778.aspx,B905529260E9C6790C1A6B1875AB95EA3DA75253CE96C87616DC4954A00542AA,YES
SENTINEL-04,SENTINEL,RETRIEVED,Acquired unscreened source-level document artifact from https://bachmai.gov.vn/bai-viet/ung-dung-tri-tue-nhan-tao-gop-phan-nang-cao-hieu-qua-chan-doan-dieu-tri-benh-ung-thu-phoi?id=b6fa9ccc-f3be-45fc-bf7e-4513d97664ba via search locator 'site:bachmai.gov.vn trí tuệ nhân tạo y tế' (DQ-IMPL-01),https://bachmai.gov.vn/bai-viet/ung-dung-tri-tue-nhan-tao-gop-phan-nang-cao-hieu-qua-chan-doan-dieu-tri-benh-ung-thu-phoi?id=b6fa9ccc-f3be-45fc-bf7e-4513d97664ba,029D5D809D87FBFEB4D74A6F36DAABFE7C9F86C8202EEA028C033AB4D57294E7,YES
SENTINEL-05,SENTINEL,RETRIEVED,Acquired unscreened source-level document artifact from https://www.vinmec.com/vie/bai-viet/ung-dung-cua-tri-tue-nhan-tao-ai-trong-chan-doan-ung-thu-thuc-quan-vi via search locator 'site:vinmec.com trí tuệ nhân tạo y tế' (DQ-IMPL-01),https://www.vinmec.com/vie/bai-viet/ung-dung-cua-tri-tue-nhan-tao-ai-trong-chan-doan-ung-thu-thuc-quan-vi,8A894CCE471460539BB43996DD2C4AD0897FD09565C4358BDC4D6E65F4F98335,YES
