manifestation_id,slot_id,domain,query_id,title,source_url,raw_body_sha256,status
MANIF-MINISTRY-01,MINISTRY-01,moh.gov.vn,DQ-IMPL-01,Bác sĩ AI và bài toán nhân lực y tế: Hợp tác giữa công nghệ và ...,https://vnpa.moh.gov.vn/bac-si-ai-va-bai-toan-nhan-luc-y-te-hop-tac-giua-cong-nghe-va-nhan-van/,B6612C0E14974D06CDB39F57547DF673CDBAA576F90A91F778B8D861D99D91EA,UNSCREENED_DOCUMENT_CAPTURED
MANIF-MINISTRY-02,MINISTRY-02,moh.gov.vn,DQ-IMPL-05,Tập huấn Ứng dụng trí tuệ nhân tạo trong công tác dân số,https://vnpa.moh.gov.vn/tap-huan-ung-dung-tri-tue-nhan-tao-trong-cong-tac-dan-so/,BDC3CB8940A341482758E8518EE632B52D53AC4E838179A2BBB60B38D8A0E610,UNSCREENED_DOCUMENT_CAPTURED
MANIF-MINISTRY-03,MINISTRY-03,most.gov.vn,DQ-IMPL-03,Đánh giá mức độ sẵn sàng về trí tuệ nhân tạo (AI) theo công cụ ...,https://tthc.most.gov.vn/index.php/ban_b/article/download/3788/1866/11162,C6B1CFC50642354E293883E82C9FA65A5875CA8A59C0D6C32EA03144BBA8FD74,UNSCREENED_DOCUMENT_CAPTURED
MANIF-MINISTRY-04,MINISTRY-04,most.gov.vn,DQ-TOOL-01,DOI: 10.31276/VJST.2026.3884 RFO-HITL: Kiến trúc tác ...,https://tthc.most.gov.vn/index.php/ban_b/article/download/3884/1906/11470,5955C7B705C66542B5703BA872EA3B1C7F09EDDE9A9393B7B233341585075EF6,UNSCREENED_DOCUMENT_CAPTURED
MANIF-SENTINEL-02,SENTINEL-02,soyte.danang.gov.vn,DQ-IMPL-01,Y tế thông minh - Chuyển đổi số - Sở Y tế Đà Nẵng,https://soyte.danang.gov.vn/y-te-thong-minh-chuyen-doi-so,6F5CC1C6B9D2EEA08144F0C775008DD53A6C05E1DBB0215B117C7D8D60524CF0,UNSCREENED_DOCUMENT_CAPTURED
MANIF-SENTINEL-03,SENTINEL-03,medinet.gov.vn,DQ-IMPL-01,Sở Y tế TP.HCM tổ chức khóa đào tạo ứng dụng trí tuệ ...,https://medinet.gov.vn/chuyen-muc/so-y-te-tphcm-to-chuc-khoa-dao-tao-ung-dung-tri-tue-nhan-tao-ai-co-ban-cmobile4675-73233.aspx,9031B53DE9D84E65E2FD55BEEB7BCC3DD482489EDA87B4EDBABB1C5BD4C2AE02,UNSCREENED_DOCUMENT_CAPTURED
MANIF-SENTINEL-04,SENTINEL-04,bachmai.gov.vn,DQ-IMPL-01,Ứng dụng trí tuệ nhân tạo góp phần nâng cao hiệu quả ...,https://bachmai.gov.vn/bai-viet/ung-dung-tri-tue-nhan-tao-gop-phan-nang-cao-hieu-qua-chan-doan-dieu-tri-benh-ung-thu-phoi?id=b6fa9ccc-f3be-45fc-bf7e-4513d97664ba,B437495DD0B010C5EB0F8C2D1A53D8AC2403944ABFB28BF39BB5DD6AE2DD2A59,UNSCREENED_DOCUMENT_CAPTURED
MANIF-SENTINEL-05,SENTINEL-05,vinmec.com,DQ-IMPL-01,Ứng dụng của trí tuệ nhân tạo AI trong chẩn đoán ung thư ...,https://www.vinmec.com/vie/bai-viet/ung-dung-cua-tri-tue-nhan-tao-ai-trong-chan-doan-ung-thu-thuc-quan-vi,8A894CCE471460539BB43996DD2C4AD0897FD09565C4358BDC4D6E65F4F98335,UNSCREENED_DOCUMENT_CAPTURED
