manifestation_id,slot_id,domain,query_id,title,source_url,raw_body_sha256,status
MANIF-MINISTRY-01,MINISTRY-01,moh.gov.vn,DQ-IMPL-01,Bác sĩ AI và bài toán nhân lực y tế: Hợp tác giữa công nghệ và ...,https://vnpa.moh.gov.vn/bac-si-ai-va-bai-toan-nhan-luc-y-te-hop-tac-giua-cong-nghe-va-nhan-van/,CABC30A48251D719AAA690AB7509F45BAEF06DFB4AC2C62F86B044FBFCFF89A5,UNSCREENED_DOCUMENT_CAPTURED
MANIF-MINISTRY-02,MINISTRY-02,moh.gov.vn,DQ-IMPL-05,Tập huấn Ứng dụng trí tuệ nhân tạo trong công tác dân số,https://vnpa.moh.gov.vn/tap-huan-ung-dung-tri-tue-nhan-tao-trong-cong-tac-dan-so/,9782B1FDA548F7BB14766DC18CDF0BA23DEA6A83E751EB6ADA197B4DC1938C3A,UNSCREENED_DOCUMENT_CAPTURED
MANIF-MINISTRY-03,MINISTRY-03,most.gov.vn,DQ-IMPL-03,Đánh giá mức độ sẵn sàng về trí tuệ nhân tạo (AI) theo công cụ ...,https://tthc.most.gov.vn/index.php/ban_b/article/download/3788/1866/11162,1A6DCA6DAC42DB1CDEC78FA4ABC6D7D3F61FEC1DECD4BD32FAC11325BD12B03A,UNSCREENED_DOCUMENT_CAPTURED
MANIF-MINISTRY-04,MINISTRY-04,moh.gov.vn,DQ-TOOL-01,Đánh giá tác động Luật Công tác xã hội,https://btxh.moh.gov.vn/danh-muc-tin/cong-tac-xa-hoi/danh-gia-tac-dong-luat-cong-tac-xa-hoi_t209c40n1439,3EFBFEB6B9E0DDF9733D8BD9A331BD9DE0F0B6A3BCAF84CC74865A9FB496D856,UNSCREENED_DOCUMENT_CAPTURED
MANIF-INTL-03,INTL-03,www.who.int/vietnam,DQ-EVID-04,Giới thiệu về WHO tại Việt Nam,https://www.who.int/vietnam/vi/about,5380FB255EDE0C079B856CEB937E6D342635ED32E2EC114EB05FF2567B908947,UNSCREENED_DOCUMENT_CAPTURED
MANIF-SENTINEL-02,SENTINEL-02,soyte.danang.gov.vn,DQ-IMPL-01,"Hội thảo ứng dụng trí tuệ nhân tạo trong khám, chữa bệnh và ...",https://soyte.danang.gov.vn/vi/w/hoi-thao-ung-dung-tri-tue-nhan-tao-trong-kham-chua-benh-va-xay-dung-de-an-phat-trien-y-te-thong-minh-3271122,7218E1F2FD86F14FB3A141FD6BFBFF991F56C282291E31000FDFEBEB76DE3825,UNSCREENED_DOCUMENT_CAPTURED
MANIF-SENTINEL-03,SENTINEL-03,medinet.gov.vn,DQ-IMPL-01,Tìm hiểu ứng dụng trí tuệ nhân tạo trong y tế,https://medinet.gov.vn/cai-cach-hanh-chinh-y-te-thong-minh/tim-hieu-ung-dung-tri-tue-nhan-tao-trong-y-te-so-y-te-hcm-cmobile4714-30778.aspx,B2EE65489DC37B333BB7D3EAB45A6D9B965D74463BF4F5F60E221FF4F08DFF38,UNSCREENED_DOCUMENT_CAPTURED
MANIF-SENTINEL-04,SENTINEL-04,bachmai.gov.vn,DQ-IMPL-01,Ứng dụng trí tuệ nhân tạo góp phần nâng cao hiệu quả ...,https://bachmai.gov.vn/bai-viet/ung-dung-tri-tue-nhan-tao-gop-phan-nang-cao-hieu-qua-chan-doan-dieu-tri-benh-ung-thu-phoi?id=b6fa9ccc-f3be-45fc-bf7e-4513d97664ba,159A179A8D9781E38D37F8DDD8224481550A298E3C85D1710134E7D31D6F3D2B,UNSCREENED_DOCUMENT_CAPTURED
MANIF-SENTINEL-05,SENTINEL-05,vinmec.com,DQ-IMPL-01,Ứng dụng của trí tuệ nhân tạo AI trong chẩn đoán ung thư ...,https://www.vinmec.com/vie/bai-viet/ung-dung-cua-tri-tue-nhan-tao-ai-trong-chan-doan-ung-thu-thuc-quan-vi,8A894CCE471460539BB43996DD2C4AD0897FD09565C4358BDC4D6E65F4F98335,UNSCREENED_DOCUMENT_CAPTURED
