manifestation_id,slot_id,domain,query_id,title,source_url,raw_body_sha256,status
MANIF-MINISTRY-01,MINISTRY-01,moh.gov.vn,DQ-IMPL-01,Bác sĩ AI và bài toán nhân lực y tế: Hợp tác giữa công nghệ và ...,https://vnpa.moh.gov.vn/bac-si-ai-va-bai-toan-nhan-luc-y-te-hop-tac-giua-cong-nghe-va-nhan-van/,E6C6F866AF50BFF7DC98F2E0FB782FFC9FFCE451712544DD33F203CDFA7F05A5,UNSCREENED_DOCUMENT_CAPTURED
MANIF-MINISTRY-02,MINISTRY-02,moh.gov.vn,DQ-IMPL-05,Tập huấn Ứng dụng trí tuệ nhân tạo trong công tác dân số,https://vnpa.moh.gov.vn/tap-huan-ung-dung-tri-tue-nhan-tao-trong-cong-tac-dan-so/,56D829DB79FC76B67F27DA888D986E612CA66E757BBD5FAB002964DF973C8625,UNSCREENED_DOCUMENT_CAPTURED
MANIF-MINISTRY-03,MINISTRY-03,most.gov.vn,DQ-IMPL-03,Đánh giá mức độ sẵn sàng về trí tuệ nhân tạo (AI) theo công cụ ...,https://tthc.most.gov.vn/index.php/ban_b/article/download/3788/1866/11162,748973837B2F4AA5D747248405C2172A7B5518E07527DD89C4561D6F8061DAAC,UNSCREENED_DOCUMENT_CAPTURED
MANIF-MINISTRY-04,MINISTRY-04,moh.gov.vn,DQ-EVID-01,Bác sĩ AI và bài toán nhân lực y tế: Hợp tác giữa công nghệ và ...,https://vnpa.moh.gov.vn/bac-si-ai-va-bai-toan-nhan-luc-y-te-hop-tac-giua-cong-nghe-va-nhan-van/,FDD6EEC5B12CE4A1B45016DB702A70F04CF618620D44A17AF66C7CD7C14D85C4,UNSCREENED_DOCUMENT_CAPTURED
MANIF-INTL-01,INTL-01,www.who.int/vietnam,DQ-EVID-04,Giới thiệu về WHO tại Việt Nam,https://www.who.int/vietnam/vi/about,5380FB255EDE0C079B856CEB937E6D342635ED32E2EC114EB05FF2567B908947,UNSCREENED_DOCUMENT_CAPTURED
MANIF-SENTINEL-02,SENTINEL-02,soyte.danang.gov.vn,DQ-IMPL-01,"Hội thảo ứng dụng trí tuệ nhân tạo trong khám, chữa bệnh và ...",https://soyte.danang.gov.vn/vi/w/hoi-thao-ung-dung-tri-tue-nhan-tao-trong-kham-chua-benh-va-xay-dung-de-an-phat-trien-y-te-thong-minh-3271122,545642D917E1B736C46D2D6E87A075B82EDDD2C9F4CF8A9C862B3DE9F6B12DA9,UNSCREENED_DOCUMENT_CAPTURED
MANIF-SENTINEL-03,SENTINEL-03,medinet.gov.vn,DQ-IMPL-01,Tìm hiểu ứng dụng trí tuệ nhân tạo trong y tế,https://medinet.gov.vn/cai-cach-hanh-chinh-y-te-thong-minh/tim-hieu-ung-dung-tri-tue-nhan-tao-trong-y-te-so-y-te-hcm-cmobile4714-30778.aspx,5E61504F5EF473035730D71FAE442119A8150507CFA14F947D74E514EAC2487F,UNSCREENED_DOCUMENT_CAPTURED
MANIF-SENTINEL-04,SENTINEL-04,bachmai.gov.vn,DQ-IMPL-01,Ứng dụng trí tuệ nhân tạo góp phần nâng cao hiệu quả ...,https://bachmai.gov.vn/bai-viet/ung-dung-tri-tue-nhan-tao-gop-phan-nang-cao-hieu-qua-chan-doan-dieu-tri-benh-ung-thu-phoi?id=b6fa9ccc-f3be-45fc-bf7e-4513d97664ba,049319B3067E371132B559C99E8943B402184877C91E9AE9E40AFE1F9918F38F,UNSCREENED_DOCUMENT_CAPTURED
MANIF-SENTINEL-05,SENTINEL-05,vinmec.com,DQ-IMPL-01,Ứng dụng của trí tuệ nhân tạo AI trong chẩn đoán ung thư ...,https://www.vinmec.com/vie/bai-viet/ung-dung-cua-tri-tue-nhan-tao-ai-trong-chan-doan-ung-thu-thuc-quan-vi,8A894CCE471460539BB43996DD2C4AD0897FD09565C4358BDC4D6E65F4F98335,UNSCREENED_DOCUMENT_CAPTURED
