slot_id,slot_class,status,rationale,acquired_url,raw_body_sha256,terminal_reached
MINISTRY-01,MINISTRY,RETRIEVED,Acquired unscreened source-level document artifact from https://vnpa.moh.gov.vn/bac-si-ai-va-bai-toan-nhan-luc-y-te-hop-tac-giua-cong-nghe-va-nhan-van/ via search locator 'site:moh.gov.vn trí tuệ nhân tạo y tế' (DQ-IMPL-01),https://vnpa.moh.gov.vn/bac-si-ai-va-bai-toan-nhan-luc-y-te-hop-tac-giua-cong-nghe-va-nhan-van/,E6C6F866AF50BFF7DC98F2E0FB782FFC9FFCE451712544DD33F203CDFA7F05A5,YES
MINISTRY-02,MINISTRY,RETRIEVED,Acquired unscreened source-level document artifact from https://vnpa.moh.gov.vn/tap-huan-ung-dung-tri-tue-nhan-tao-trong-cong-tac-dan-so/ via search locator 'site:moh.gov.vn giám sát đánh giá AI y tế' (DQ-IMPL-05),https://vnpa.moh.gov.vn/tap-huan-ung-dung-tri-tue-nhan-tao-trong-cong-tac-dan-so/,56D829DB79FC76B67F27DA888D986E612CA66E757BBD5FAB002964DF973C8625,YES
MINISTRY-03,MINISTRY,RETRIEVED,Acquired unscreened source-level document artifact from https://tthc.most.gov.vn/index.php/ban_b/article/download/3788/1866/11162 via search locator 'site:most.gov.vn quản trị đạo đức AI' (DQ-IMPL-03),https://tthc.most.gov.vn/index.php/ban_b/article/download/3788/1866/11162,748973837B2F4AA5D747248405C2172A7B5518E07527DD89C4561D6F8061DAAC,YES
MINISTRY-04,MINISTRY,RETRIEVED,Acquired unscreened source-level document artifact from https://vnpa.moh.gov.vn/bac-si-ai-va-bai-toan-nhan-luc-y-te-hop-tac-giua-cong-nghe-va-nhan-van/ via search locator 'site:moh.gov.vn kết quả triển khai AI y tế' (DQ-EVID-01),https://vnpa.moh.gov.vn/bac-si-ai-va-bai-toan-nhan-luc-y-te-hop-tac-giua-cong-nghe-va-nhan-van/,FDD6EEC5B12CE4A1B45016DB702A70F04CF618620D44A17AF66C7CD7C14D85C4,YES
INTL-01,INTL,RETRIEVED,Acquired unscreened source-level document artifact from https://www.who.int/vietnam/vi/about via search locator 'site:www.who.int/vietnam khung đạo đức AI y tế Việt Nam' (DQ-EVID-04),https://www.who.int/vietnam/vi/about,5380FB255EDE0C079B856CEB937E6D342635ED32E2EC114EB05FF2567B908947,YES
INTL-02,INTL,UNRETRIEVABLE,All search locators in locked sequence failed (HTTP 403 / 429 / WAF bot blocking) or yielded 0 document URLs after 3 retries,NONE,NONE,YES
INTL-03,INTL,OUT_OF_SCOPE,"Acquired page 'Đã đến lúc phải hành động quyết liệt hơn để làm sạch ...' from https://www.who.int/vietnam/vi/news/commentaries/detail/time-to-take-bolder-actions-for-clean-air-and-people%E2%80%99s-health is an organizational landing page, out of scope for AI/health governance.",https://www.who.int/vietnam/vi/news/commentaries/detail/time-to-take-bolder-actions-for-clean-air-and-people%E2%80%99s-health,NONE,YES
SENTINEL-01,SENTINEL,UNRETRIEVABLE,All search locators in locked sequence failed (HTTP 403 / 429 / WAF bot blocking) or yielded 0 document URLs after 3 retries,NONE,NONE,YES
SENTINEL-02,SENTINEL,RETRIEVED,Acquired unscreened source-level document artifact from https://soyte.danang.gov.vn/vi/w/hoi-thao-ung-dung-tri-tue-nhan-tao-trong-kham-chua-benh-va-xay-dung-de-an-phat-trien-y-te-thong-minh-3271122 via search locator 'site:soyte.danang.gov.vn trí tuệ nhân tạo y tế' (DQ-IMPL-01),https://soyte.danang.gov.vn/vi/w/hoi-thao-ung-dung-tri-tue-nhan-tao-trong-kham-chua-benh-va-xay-dung-de-an-phat-trien-y-te-thong-minh-3271122,545642D917E1B736C46D2D6E87A075B82EDDD2C9F4CF8A9C862B3DE9F6B12DA9,YES
SENTINEL-03,SENTINEL,RETRIEVED,Acquired unscreened source-level document artifact from https://medinet.gov.vn/cai-cach-hanh-chinh-y-te-thong-minh/tim-hieu-ung-dung-tri-tue-nhan-tao-trong-y-te-so-y-te-hcm-cmobile4714-30778.aspx via search locator 'site:medinet.gov.vn trí tuệ nhân tạo y tế' (DQ-IMPL-01),https://medinet.gov.vn/cai-cach-hanh-chinh-y-te-thong-minh/tim-hieu-ung-dung-tri-tue-nhan-tao-trong-y-te-so-y-te-hcm-cmobile4714-30778.aspx,5E61504F5EF473035730D71FAE442119A8150507CFA14F947D74E514EAC2487F,YES
